host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout,class_label,lens,lsb
,1417364+562530,214.4018,56.42511,UDG,10.65,,"(237, 293)",8178.927248921402,3555.5644670107613,ugriz,5,1,,,
,1009351+444838,152.39612,44.81059,UDG,5.63,,"(216, 270)",9659.926478402409,1339.1312342609422,ugri,4,1,,,
PGC38555,121009+684258,182.5406,68.7162,dE,3.48,,"(134, 317)",6893.343890777755,9193.895701982248,ugriz,5,1,2.0,,1.0
,1211499+684505,182.9581,68.75129,UDG,5.33,,"(134, 317)",3958.1344039376163,9871.028072475045,ugriz,5,1,,,
,1212279+684404,183.1164,68.73448,UDG,7.13,,"(134, 317)",2844.7238744947267,9549.379581158359,ugriz,5,1,2.0,,1.0
,318,184.6962,1.3815,,5.27,,"(369, 183)",2424.2128385518104,2703.661578993151,u,1,1,,,
,1755249+332656,268.85384,33.44887,UDG,5.32,,"(448, 247)",1249.77915621179,4013.33711719408,ugri,4,1,,,
,0947583+510632,146.99296,51.10883,UDG,5.6,,"(185, 282)",4890.435680133354,7109.0218579672,giz,3,1,,,
,1303568+280630,195.98668,28.10847,UDG,5.3,,"(346, 236)",4110.097142511471,7102.229187896247,ui,2,1,,,
,1304052+274804,196.02169,27.80125,UDG,5.54,,"(346, 236)",3507.4095130519545,1148.9444830637808,ui,2,1,,,
,2323184+172116,350.8268,17.35458,UDG,7.72,,"(669, 215)",3264.8540807072845,2182.328741830696,u,1,1,,,
,357,184.9713,1.7733,,3.74,0.006599999964237213,"(370, 184)",7740.1726687769915,606.8706838770904,u,1,1,,,
,366,185.0479,1.9586,,5.03,0.006787832826375961,"(370, 184)",6256.296440481545,4197.735067826866,u,1,1,2.0,,
,1423354+344330,215.8976,34.72488,UDG,5.4,,"(356, 249)",6413.434359763807,9358.587253377256,ugri,4,1,,,
NGC3674,MATLAS-990,170.709,56.7401,dI  ,0.0,,"(188, 293)",751.8613824211561,9665.307087683417,giz,3,1,2.0,,1.0
PGC39241,121602+464357,184.0097,46.7326,BC,9.83,,"(253, 273)",1837.0058712363302,9512.35797172276,ugri,4,1,2.0,,1.0
,0805113+283624,121.29689,28.60671,UDG,6.84,,"(213, 237)",3106.988308671943,7068.811671811609,u,1,1,,,
,1342168+610102,205.56992,61.01715,UDG,5.32,,"(199, 302)",1856.9849956549988,5340.3801770241225,ugriz,5,1,,,
NGC628,dw0134p1438,23.6741,14.6444,,10.5116936571576,,"(46, 209)",6548.841776388086,7798.610566145584,u,1,1,2.0,,1.0
PGC34426,111511+185944,168.7999,18.9957,dE,6.85,,"(319, 218)",2995.366584667033,4917.293404778932,u,1,1,2.0,,1.0
,1719307+321252,259.8779,32.21457,UDG,5.67,,"(441, 244)",7146.83904855937,9159.471408972844,ugri,4,1,,,
NGC0770,MATLAS-148,30.0411,18.8296,dI  ,3.28,,"(57, 218)",6854.176972616813,1698.342781741539,u,1,1,2.0,,1.0
NGC0770,MATLAS-151,30.1832,19.1669,dE  ,5.82,,"(57, 218)",4249.309651871264,8234.44639799709,u,1,1,2.0,,1.0
PGC7525,015942+190118,29.925,19.0219,BC,6.52,,"(57, 218)",8979.090851151654,5426.857395260016,u,1,1,2.0,,1.0
,1119229+622924,169.84545,62.48998,UDG,5.68,,"(157, 305)",6436.443525200689,4807.60693567161,giz,3,1,,,
NGC628,dw0141p1651,25.4173,16.8721,,9.99444823719298,0.028826609253883362,"(49, 214)",8748.817115703432,2523.345819919906,u,1,1,2.0,,1.0
,1341093+250907,205.28877,25.1519,UDG,12.17,,"(372, 230)",3939.135514935646,7943.909446041373,u,1,1,,,
,1208466+523345,182.19401,52.56258,UDG,9.82,,"(222, 285)",6689.6487656430545,6214.415267382843,ugriz,5,1,2.0,,1.0
,2027,181.738,0.663,,10.56,0.004498593509197235,"(363, 181)",521.996473680988,8158.884100451773,u,1,1,2.0,,
,0915588+273901,138.99512,27.65016,UDG,6.13,,"(247, 235)",9060.616663701243,7913.8418587146225,u,1,1,,,
NGC3674,MATLAS-1003,170.881,57.2746,dIN ,0.0,0.006200956646353006,"(184, 295)",8621.002718673157,641.1471419090412,giz,3,1,2.0,,1.0
NGC3674,MATLAS-1020,171.2,57.6341,dE  ,4.26,,"(184, 295)",5276.237229111301,7598.777995594035,giz,3,1,2.0,,1.0
NGC3674,MATLAS-1036,171.481,57.4466,dI  ,0.0,,"(184, 295)",2347.5231869954496,3970.1259982594947,giz,3,1,2.0,,1.0
NGC3674,MATLAS-1047,171.6529,57.6057,dIN ,4.29,,"(184, 295)",574.3792287544729,7062.25991395725,giz,3,1,2.0,,1.0
PGC35326,112631+571553,171.6332,57.2649,dE,6.89,,"(184, 295)",739.381353312624,456.69610856268446,giz,3,1,2.0,,1.0
,1248107+753241,192.0447,75.54483,UDG,7.35,,"(96, 331)",3374.1480674900567,5873.376842566228,gri,3,1,,,
,1255055+371101,193.77295,37.18349,UDG,5.33,,"(310, 254)",9756.538632755059,8563.586855227864,ugri,4,1,,,
PGC30019,101624+732735,154.1038,73.4597,dE,5.47,,"(88, 327)",9509.512089587837,4249.864419525344,ugriz,5,1,2.0,,1.0
PGC30019,101645+732902,154.1885,73.4839,dE,4.6,,"(88, 327)",9036.505036795192,4712.743816811477,ugriz,5,1,2.0,,1.0
PGC30019,101801+732748,154.5049,73.4634,dE,3.73,,"(88, 327)",7296.247518039434,4298.727004074937,ugriz,5,1,2.0,,1.0
PGC30019,102127+732838,155.3629,73.4775,dE,6.05,,"(88, 327)",2565.7509172037385,4572.968715859091,ugriz,5,1,2.0,,1.0
,1018101+732825,154.54226,73.47374,UDG,5.7,,"(88, 327)",7088.910578302915,4497.730927438993,ugriz,5,1,2.0,,1.0
,1012156+400254,153.06511,40.04844,UDG,5.84,,"(235, 260)",9750.75265136193,5947.2600240163765,ugri,4,1,,,
,1549095+282917,237.2896,28.48795,UDG,5.46,,"(417, 237)",4337.916909832928,4766.590608287927,ui,2,1,,,
NGC3658,MATLAS-1005,170.94,38.5667,dEN ,3.25,,"(268, 257)",9278.05748969072,6299.148775813316,ugri,4,1,2.0,,1.0
NGC3658,MATLAS-1008,171.0526,38.5755,dE  ,7.84,,"(268, 257)",7571.606178699549,6465.487833173496,ugri,4,1,2.0,,1.0
