name,host,radeg,dedeg,rproj,gmag,e_gmag,rimag,e_rimag,Mgmag,MVmag,e_MVmag,logMstar,e_logMstar,mu0V,e_mu0V,re,e_re,ETG,confirmed,Psat,filter,telescope,bad,dist,rearcsec,mueg,host_ra,host_dec,host_dist,host_alt_id,iso
dw0507m3739,NGC1808,76.853,-37.6518,24.4,17.84,0.1,17.29,0.1,-12.0,-12.32,0.1,7.0,0.13,24.4,0.13,723.3,52.2,True,True,1.0,gr,DECALS,nan,9.29,16.0593470459705,25.8741140987473,76.926429,-37.51305,9.29,nan,1.0
dw0507m3744,NGC1808,76.9674,-37.7385,37.0,16.92,0.09,16.37,0.09,-12.92,-13.24,0.09,7.38,0.13,21.3,0.12,260.2,15.5,True,True,1.0,gr,DECALS,nan,9.29,5.77719080424758,22.7340582382094,76.926429,-37.51305,9.29,nan,1.0
dw0507m3800,NGC1808,76.9808,-38.0125,81.4,17.96,0.1,17.43,0.1,-11.88,-12.19,0.1,6.92,0.13,22.89,0.13,367.6,26.0,False,True,1.0,gr,DECALS,nan,9.29,8.16178070364474,24.5243992900865,76.926429,-37.51305,9.29,nan,1.0
dw0508m3818,NGC1808,77.0318,-38.3098,130.0,11.81,0.08,11.43,0.09,-18.03,-18.26,0.09,9.12,0.13,20.36,0.11,11800.3,558.5,False,True,1.0,gr,DECALS,nan,9.29,262.000568796863,25.906985852553,76.926429,-37.51305,9.29,nan,1.0
dw0508m3617,NGC1808,77.1269,-36.2869,200.5,19.47,0.12,18.94,0.12,-10.37,-10.68,0.13,6.31,0.14,23.94,0.17,381.5,39.3,True,True,1.0,gr,DECALS,nan,9.29,8.47040081152134,26.1149944878833,76.926429,-37.51305,9.29,nan,1.0
dw0508m3808,NGC1808,77.1369,-38.1405,105.3,16.82,0.09,16.25,0.09,-13.02,-13.35,0.09,7.45,0.13,21.7,0.12,410.1,24.1,True,True,1.0,gr,DECALS,nan,9.29,9.10540333552072,23.6219706226763,76.926429,-37.51305,9.29,nan,1.0
NGC1827,NGC1808,77.5208,-36.9611,117.8,12.73,0.08,12.24,0.09,-17.11,-17.4,0.09,8.95,0.13,20.34,0.11,1978.9,94.3,False,True,1.0,gr,DECALS,nan,9.29,43.9372894411949,22.9496409873248,76.926429,-37.51305,9.29,nan,1.0
dw0502m3845,NGC1808,75.6394,-38.7649,261.2,19.23,0.12,19.04,0.12,-10.61,-10.73,0.12,5.82,0.14,24.0,0.16,274.5,26.4,False,False,0.45,gr,DECALS,nan,9.29,6.09469206656083,25.160233520948,76.926429,-37.51305,9.29,nan,1.0
dw0506m3800,NGC1808,76.5346,-38.0103,95.0,19.85,0.13,19.37,0.13,-9.99,-10.27,0.14,6.09,0.15,24.07,0.19,229.1,26.6,True,False,0.2,gr,DECALS,nan,9.29,5.08668106583748,25.3876472231562,76.926429,-37.51305,9.29,nan,1.0
dw0507m3733,NGC1808,76.8724,-37.5541,9.7,21.14,0.19,20.51,0.18,-8.7,-9.07,0.2,5.83,0.23,26.6,0.3,337.3,61.6,True,False,0.65,gr,DECALS,nan,9.29,7.48903327411989,27.5176034826412,76.926429,-37.51305,9.29,nan,1.0
