ID,RAdeg,DEdeg,gmag,gMag,mu,PRh,ARh,z,Nuc,Class,Env,PGC
122536+154948,186.4017,15.83,14.35,-16.82,22.96,1.68,21.1,0.0033,1,ND,1,PGC41361
122536+174439,186.4019,17.7444,20.85,-10.32,25.68,0.29,3.69,9.9999,0,ND,1,PGC41361
122536+125058,186.4022,12.8496,18.4,-12.77,25.34,0.77,9.73,9.9999,1,ND,1,PGC41361
122537+130837,186.4049,13.1437,15.67,-15.5,23.26,1.05,13.15,-0.0023,1,BC,1,PGC41361
122537+175035,186.4069,17.8433,19.38,-11.79,24.57,0.34,4.37,9.9999,0,ND,1,PGC41361
122537+163950,186.4072,16.6641,17.71,-13.46,24.52,0.73,9.2,9.9999,0,ND,1,PGC41361
122538+140903,186.4115,14.1509,16.6,-14.57,24.68,1.32,16.52,0.0013,1,TS,1,PGC41361
122538+074525,186.4116,7.757,19.28,-11.88,25.27,0.5,6.28,9.9999,0,ND,1,PGC41361
122538+074356,186.4118,7.7323,17.33,-13.84,22.97,0.42,5.35,0.005,1,ND,1,PGC41361
122538+121849,186.4121,12.3138,15.59,-15.58,22.85,0.9,11.32,0.0053,1,ND,1,PGC41361
122539+161658,186.4148,16.283,18.99,-12.17,26.29,0.92,11.52,9.9999,0,ND,1,PGC41361
122539+103459,186.4152,10.5832,15.98,-15.19,23.46,1.0,12.51,9.9999,0,BC,1,PGC41361
122542+175924,186.4273,17.9902,18.63,-12.54,24.35,0.44,5.55,9.9999,0,ND,1,PGC41361
122542+153429,186.4281,15.5749,18.84,-12.33,24.52,0.43,5.47,9.9999,1,ND,1,PGC41361
122544+130119,186.436,13.0221,17.12,-14.05,23.48,0.59,7.47,0.0024,1,ND,1,PGC41361
122547+113942,186.446,11.6619,18.05,-13.12,24.95,0.76,9.57,9.9999,0,ND,1,PGC41361
122547+124536,186.4461,12.7602,17.35,-13.82,23.37,0.51,6.39,9.9999,1,ND,1,PGC41361
122547+100533,186.4473,10.0926,17.66,-13.5,24.83,0.86,10.81,9.9999,0,ND,1,PGC41361
122547+122518,186.4477,12.4219,19.28,-11.89,23.39,0.21,2.65,9.9999,0,ND,1,PGC41361
122547+145708,186.4479,14.9523,15.36,-15.81,22.28,0.77,9.65,0.0014,2,BC,1,PGC41361
122548+135114,186.4503,13.8539,18.59,-12.57,24.76,0.54,6.83,9.9999,1,ND,1,PGC41361
122548+130720,186.4513,13.1224,18.72,-12.45,24.82,0.53,6.64,9.9999,0,ND,1,PGC41361
122549+131659,186.4542,13.2831,19.93,-11.24,26.64,0.7,8.81,9.9999,0,ND,1,PGC41361
122549+124815,186.4544,12.8044,18.6,-12.56,24.39,0.45,5.73,9.9999,0,ND,1,PGC41361
122550+131151,186.4606,13.1976,15.86,-15.3,23.18,0.92,11.58,-0.0024,1,ND,1,PGC41361
122551+074715,186.4634,7.7875,18.1,-13.06,23.2,0.33,4.18,0.0023,1,ND,1,PGC41361
122552+131131,186.4694,13.1922,18.52,-12.64,24.88,0.59,7.45,9.9999,1,ND,1,PGC41361
122554+140827,186.4765,14.141,19.59,-11.58,26.12,0.64,8.08,9.9999,1,ND,1,PGC41361
122555+191150,186.4793,19.1975,18.97,-12.19,25.18,0.55,6.96,9.9999,1,ND,1,PGC41361
122555+085024,186.4801,8.8402,20.08,-11.09,25.23,0.34,4.27,9.9999,0,ND,1,PGC41361
122555+182017,186.4802,18.3382,20.89,-10.28,26.14,0.35,4.48,9.9999,0,ND,1,PGC41361
122555+114803,186.482,11.8011,19.24,-11.93,25.78,0.64,8.11,9.9999,1,ND,1,PGC41361
122555+124610,186.4821,12.7697,17.32,-13.84,23.77,0.62,7.79,0.0023,1,TS,1,PGC41361
122556+071404,186.4838,7.2347,17.19,-13.97,23.42,0.56,7.02,0.0032,1,ND,1,PGC41361
122556+111028,186.4853,11.1747,18.77,-12.4,24.96,0.55,6.91,9.9999,1,ND,1,PGC41361
122557+100313,186.4913,10.0538,14.24,-16.92,21.73,1.0,12.53,0.0034,1,ND,1,PGC41361
122558+151637,186.4955,15.2771,17.47,-13.69,23.87,0.6,7.59,0.0031,0,ND,1,PGC41361
122559+140221,186.4989,14.0394,17.51,-13.66,25.44,1.22,15.37,9.9999,1,ND,1,PGC41361
122600+072718,186.5036,7.4552,17.93,-13.24,23.48,0.41,5.14,-0.0017,1,ND,1,PGC41361
122601+081135,186.5053,8.1933,18.41,-12.76,24.2,0.45,5.73,0.0039,1,ND,1,PGC41361
122605+114843,186.5227,11.8121,14.82,-16.35,22.01,0.87,10.94,9.9999,1,BC,1,PGC41361
122605+123334,186.5235,12.5596,15.53,-15.63,23.34,1.15,14.49,0.0047,1,ND,1,PGC41361
122605+085802,186.5245,8.9673,15.86,-15.31,24.44,1.66,20.81,9.9999,0,ND,1,PGC41361
122606+125139,186.5277,12.8609,16.81,-14.36,23.14,0.59,7.38,0.004,1,ND,1,PGC41361
122609+134022,186.5397,13.673,17.53,-13.64,23.53,0.5,6.32,-0.0003,1,ND,1,PGC41361
122609+122342,186.5401,12.3951,18.65,-12.52,24.54,0.48,6.01,9.9999,1,ND,1,PGC41361
122609+180510,186.5407,18.0863,20.26,-10.9,25.45,0.34,4.34,9.9999,0,ND,1,PGC41361
122609+071807,186.5411,7.3021,19.41,-11.76,24.54,0.33,4.23,9.9999,0,ND,1,PGC41361
122610+145543,186.5422,14.9289,16.86,-14.3,24.43,1.04,13.02,9.9999,1,ND,1,PGC41361
122610+123121,186.5425,12.5225,20.62,-10.55,25.71,0.33,4.16,9.9999,0,ND,1,PGC41361
122610+122852,186.5451,12.4813,19.22,-11.95,25.55,0.58,7.37,9.9999,1,ND,1,PGC41361
122611+120514,186.5491,12.0873,20.09,-11.07,25.16,0.32,4.11,9.9999,0,ND,1,PGC41361
122612+060510,186.5514,6.0863,19.23,-11.93,26.02,0.72,9.1,9.9999,0,ND,1,PGC41361
122612+190412,186.5526,19.07,18.11,-13.05,24.01,0.48,6.02,9.9999,0,ND,1,PGC41361
122613+035013,186.5579,3.8371,17.45,-13.72,22.7,0.35,4.48,0.0027,0,BC,1,PGC41361
