ID,HostETG,Dist,f_Dist,Distl,r_Distl,RAdeg,DEdeg,gmag,g-i,g-r,n,n_n,Re,b/a,PA,mu0g,<mueg>,Morph,field1,field2,field3,host_ra,host_dec,host_Vhel,host_D,host_Mk,host_Ab,host_logRe,iso_clean,main_field,r_fov_arcsec
MATLAS-612,PGC028887,41.0,1,43.86,b,149.969,11.6454,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-613,PGC028887,41.0,1,0.0, ,149.978,11.6654,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-614,NGC3098,23.0,1,0.0, ,150.21,24.6096,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC3098,,,150.569458,24.711092,1397.0,23.0,-22.72,0.16,1.12,1.0,NGC3098,1875.3290484470888
MATLAS-615,UGC05408,45.8,1,0.0, ,150.34,59.4016,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,UGC05408,,,150.966095,59.436138,2998.0,45.8,-22.03,0.06,0.84,1.0,UGC05408,1875.8017873286692
MATLAS-616,NGC3098,23.0,1,0.0, ,150.356,24.8176,19.19,0.8,0.53,0.71, ,5.05,0.81,71.5,23.17,23.95,dE  ,NGC3098,,,150.569458,24.711092,1397.0,23.0,-22.72,0.16,1.12,1.0,NGC3098,1875.3290484470888
MATLAS-617,PGC028887,41.0,1,0.0, ,150.3973,11.3543,21.72,0.0,0.49,0.74, ,2.73,0.66,78.71,24.36,25.14,dE  ,PGC028887,,,149.93129,11.660812,2833.0,41.0,-22.26,0.17,1.08,1.0,PGC028887,1868.5287760605954
MATLAS-618,NGC3098,23.0,1,0.0, ,150.4384,24.2727,20.94,0.77,0.54,0.91, ,3.77,0.61,74.35,24.28,25.06,dE  ,NGC3098,,,150.569458,24.711092,1397.0,23.0,-22.72,0.16,1.12,1.0,NGC3098,1875.3290484470888
MATLAS-619,NGC3073,32.8,1,16.75,b,150.4618,55.793,18.3,0.0,0.0,1.19,*,6.33,0.46,-35.29,22.76,23.54,dE  ,NGC3073,,,150.216843,55.618935,1173.0,32.8,-21.78,0.05,1.13,0.0,NGC3073,1873.541166229684
MATLAS-620,NGC3098,23.0,1,0.0, ,150.539,24.9818,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dE  ,NGC3098,,,150.569458,24.711092,1397.0,23.0,-22.72,0.16,1.12,1.0,NGC3098,1875.3290484470888
MATLAS-621,UGC05408,45.8,1,47.46,a,150.596,59.7429,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,UGC05408,,,150.966095,59.436138,2998.0,45.8,-22.03,0.06,0.84,1.0,UGC05408,1875.8017873286692
MATLAS-622,NGC3073,32.8,1,0.0, ,150.689,55.6484,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC3073,,,150.216843,55.618935,1173.0,32.8,-21.78,0.05,1.13,0.0,NGC3073,1873.541166229684
MATLAS-623,NGC3073,32.8,1,0.0, ,150.695,56.1317,21.2,0.71,0.38,0.77, ,2.38,0.7,30.06,23.2,23.98,dI  ,NGC3073,,,150.216843,55.618935,1173.0,32.8,-21.78,0.05,1.13,0.0,NGC3073,1873.541166229684
MATLAS-624,NGC3098,23.0,1,0.0, ,150.707,24.7457,21.52,0.42,0.19,0.71, ,4.67,0.59,62.76,25.33,26.11,dE  ,NGC3098,,,150.569458,24.711092,1397.0,23.0,-22.72,0.16,1.12,1.0,NGC3098,1875.3290484470888
MATLAS-625,NGC3073,32.8,1,0.0, ,150.8899,55.61,21.3,0.76,0.5,0.69, ,3.28,0.79,54.9,24.34,25.12,dE  ,NGC3073,,,150.216843,55.618935,1173.0,32.8,-21.78,0.05,1.13,0.0,NGC3073,1873.541166229684
MATLAS-626,NGC3098,23.0,1,0.0, ,150.9508,24.9718,19.38,0.76,0.5,0.88, ,8.09,0.4,-78.24,24.38,25.16,dE  ,NGC3098,,,150.569458,24.711092,1397.0,23.0,-22.72,0.16,1.12,1.0,NGC3098,1875.3290484470888
MATLAS-627,UGC05408,45.8,1,0.0, ,151.0644,59.0414,20.14,0.7,0.46,0.82, ,6.25,0.55,-68.75,24.58,25.36,dEN ,UGC05408,,,150.966095,59.436138,2998.0,45.8,-22.03,0.06,0.84,1.0,UGC05408,1875.8017873286692
MATLAS-628,NGC3073,32.8,1,0.0, ,151.112,55.22,19.08,0.52,0.31,0.6, ,6.83,0.82,-26.82,23.72,24.5,dEN ,NGC3073,,,150.216843,55.618935,1173.0,32.8,-21.78,0.05,1.13,0.0,NGC3073,1873.541166229684
MATLAS-629,PGC029321,40.9,1,0.0, ,151.2723,13.1925,21.12,0.0,0.33,0.76, ,3.27,0.7,-1.42,24.15,24.93,dE  ,PGC029321,,,151.463226,12.961213,2816.0,40.9,-21.66,0.16,0.89,0.0,PGC029321,1875.196823146177
MATLAS-630,PGC029321,40.9,1,0.0, ,151.449,13.238,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,PGC029321,,,151.463226,12.961213,2816.0,40.9,-21.66,0.16,0.89,0.0,PGC029321,1875.196823146177
