host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
M104,dw1240m1140,190.0733,-11.6793,,30.9656390279018,,,,,,0,0
M104,dw1241m1131,190.2617,-11.5288,,7.43633222941102,,,,,,0,0
M104,dw1241m1153,190.3002,-11.8916,,15.5292560933678,,,,,,0,0
M104,dw1241m1155,190.3281,-11.9254,,16.3348767502282,,,,,,0,0
M104,dw1238m1122,189.6402,-11.3681,,14.0756831655741,,,,,,0,0
M104,dw1238m1102,189.7429,-11.036,,4.93091678180231,,,,,,0,0
M104,dw1242m1116,190.6825,-11.2739,,28.0671325359269,,,,,,0,0
M104,dw1242m1129,190.7067,-11.4893,,3.30455658175976,,,,,,0,0
NGC4631,dw1236p3336,189.2059,33.6131,,11.8044791142764,,"(316, 247)",9332.960188383087,7197.383550877236,ugri,4,1
NGC4631,dw1239p3251,189.8317,32.8608,,12.5542795586071,,"(318, 246)",996.5816085614056,2307.1050586085685,ugri,4,1
NGC4631,dw1241p3251,190.4464,32.8577,,18.168027123224,,"(319, 246)",694.9816308477339,2247.7581730684806,ugri,4,1
NGC4631,NGC4627,190.4987,32.574,,26.4297688220942,,"(321, 245)",1805.5979850721787,6436.979866610351,ugri,4,1
NGC4631,NGC4656,190.9905,32.1681,,,,"(324, 244)",5597.133679299974,8257.714136328319,ugri,4,1
NGC4736,dw1231p4205,187.7873,42.0942,,8.03450531000594,,"(279, 264)",3971.333633875826,6825.930492025885,ugri,4,1
NGC4736,IC3687,190.5626,38.5034,,53.8891361654616,,"(298, 257)",2367.582638692621,5068.37094769149,ugri,4,1
NGC4736,dw1243p4339,190.9898,43.6618,,14.3845147023273,,"(277, 267)",4244.196180810437,8135.770156467741,ugri,4,1
NGC4736,dw1249p4421,192.3797,44.3595,,8.27023651714548,,"(274, 269)",825.270558158214,2284.924866646988,ugri,4,1
NGC4736,dw1255p4035,193.7615,40.5902,,25.5277253064859,,"(295, 261)",8146.778337955451,6751.8045732289775,ugri,4,1
NGC4736,dw1303p4222,195.8097,42.3733,,12.1156018336092,,"(289, 265)",7600.994542696199,2547.4604951272026,ugri,4,1
NGC4736,dw1305p4206,196.499,42.1062,,13.8688526867095,,"(292, 264)",4473.480484439464,7058.161126487735,ugri,4,1
NGC4736,dw1311p4051,197.9217,40.863,,7.27820102043326,,"(299, 262)",7458.418123539437,2347.43138299643,ugri,4,1
NGC4826,dw1255p1912,193.921,19.2096,,34.4306554880766,,"(367, 218)",7788.847659932387,9063.069234883067,u,1,1
NGC4826,dw1258p2329,194.7139,23.4899,,21.9496888157287,,"(357, 227)",3752.9913175776273,4804.576796931442,u,1,1
NGC4826,dw1245p2309,191.2591,23.1657,,6.07508231229656,,"(352, 226)",3936.8235228815984,8211.321040236575,u,1,1
NGC4826,dw1251p2324,192.8683,23.4009,,5.15662015617741,,"(354, 227)",7485.915065440049,3080.7470779811642,u,1,1
NGC5055,dw1312p4158,198.0772,41.9755,,12.6828438925779,,"(294, 264)",1121.8094909475485,4531.3084673494495,ugri,4,1
NGC5055,dw1312p4032,198.2159,40.5432,,11.2689881744468,,"(301, 261)",651.1868675125515,5844.456226278281,ugri,4,1
NGC5055,UGCA337,198.244,41.7864,,26.3400390119601,,"(295, 264)",8422.098809058087,865.3470071404918,ugri,4,1
NGC5055,UGC8313,198.4754,42.2092,,31.1606358930224,,"(295, 264)",5077.908180238591,9054.099702120455,ugri,4,1
NGC5055,dw1315p4123,198.8158,41.3967,,7.89945374094009,,"(298, 263)",6858.869389443524,2999.5225349565535,gri,3,1
NGC5055,dw1321p4226,200.3708,42.4334,,4.70897669278884,,"(295, 265)",560.3905925951767,3717.474621376319,ugri,4,1
NGC5055,dw1305p4206-n2,196.499,42.1062,,13.8711338135731,,"(292, 264)",4473.480484439464,7058.161126487735,ugri,4,1
NGC5055,dw1311p4051-n2,197.9217,40.8631,,7.26926476131255,,"(299, 262)",7458.414401354567,2349.3692916142154,ugri,4,1
NGC5055,dw1315p4304,198.7521,43.0849,,36.7393198861091,,"(291, 266)",7746.387238903175,6648.451996066263,ugri,4,1
NGC5055,dw1323p4058,200.935,40.9728,,4.39969575444765,,"(303, 262)",2139.071887532874,4476.093084893722,ugri,4,1
CENA,KK189,198.1875,-41.8319,,15.8699916500498,,,,,,0,0
CENA,ESO269-066,198.2875,-44.89,,42.2110218248839,,,,,,0,0
CENA,NGC5011C,198.2958,-43.2656,,25.3998765507012,,,,,,0,0
CENA,KK196,200.4458,-45.0633,,15.9996116102597,,,,,,0,0
CENA,KK197,200.5042,-42.5356,,52.5580760399022,,,,,,0,0
CENA,KKS55,200.55,-42.7308,,32.6304160702374,,,,,,0,0
CENA,CENA-MM-DW4,200.7583,-41.7861,,17.295811212359,,,,,,0,0
CENA,dw1323-40b,201.0,-40.8367,,24.3572812185779,,,,,,0,0
CENA,dw1323-40,201.2421,-40.7622,,15.6558369331813,,,,,,0,0
CENA,CENA-MM-DW6,201.4875,-41.0942,,15.5994804287422,,,,,,0,0
CENA,CENA-MM-DW7,201.6167,-43.5567,,29.9985673129315,,,,,,0,0
CENA,ESO324-024,201.9042,-41.4806,,,,,,,,0,0
CENA,KK203,201.8667,-45.3525,,,,,,,,0,0
CENA,dw1329-45,202.3121,-45.1767,,9.90183782994941,,,,,,0,0
CENA,CENA-MM-DW1,202.5583,-41.8933,,47.6719671050325,,,,,,0,0
CENA,CENA-MM-DW3,202.5875,-42.1925,,132.601219294752,,,,,,0,0
CENA,CENA-MM-DW9,203.2542,-42.53,,21.6972542090525,,,,,,0,0
CENA,CENA-MM-DW8,203.3917,-41.6078,,34.6761571813766,,,,,,0,0
CENA,dw1336-44,204.2033,-43.8578,,8.07025143567874,,,,,,0,0
CENA,NGC5237,204.4127,-42.8469,,,,,,,,0,0
CENA,KKS57,205.4083,-42.5819,,11.9982997950838,,,,,,0,0
CENA,dw1341-43,205.4025,-43.8554,,20.1981711909725,,,,,,0,0
NGC5194,NGC5195,202.4983,47.2661,,,,"(274, 275)",8778.832872476214,474.19541012413174,gri,3,1
NGC5194,dw1330p4731,202.6411,47.5257,,11.7171872453187,,"(274, 275)",6891.569289723297,5499.799349460405,gri,3,1
NGC5236,dw1335-29,203.9417,-29.7067,,24.8527148463257,,,,,,0,0
