host,ID,ra,dec,morph,re,zspec
NGC1121,MATLAS-210,42.7072,-1.3875,dI  ,2.4,
NGC1121,MATLAS-211,42.7253,-1.3389,dE  ,3.38,
NGC1121,MATLAS-212,42.7628,-2.0831,dI  ,2.25,
NGC1121,MATLAS-213,42.795,-1.5975,dE  ,0.0,
NGC1121,MATLAS-214,42.8154,-1.6244,dE  ,4.07,
NGC1121,MATLAS-215,42.9109,-1.9258,dI  ,0.0,
NGC1121,MATLAS-216,42.9472,-1.9189,dE  ,5.48,
NGC1121,MATLAS-217,42.9484,-1.7024,dE  ,0.0,
NGC1121,MATLAS-218,42.9988,-1.1746,dEN ,8.76,
NGC1121,MATLAS-219,43.0213,-1.8297,dE  ,2.98,
NGC1121,MATLAS-220,43.0945,-1.5035,dEN ,3.59,
NGC1121,MATLAS-221,43.1604,-1.1551,dE  ,3.01,
NGC1121,MATLAS-222,43.1665,-1.1599,dE  ,4.03,
NGC1121,MATLAS-223,43.179,-1.3266,dI  ,9.8,
NGC1222,MATLAS-224,46.763,-2.5011,dI  ,5.03,
NGC1222,MATLAS-225,46.9859,-3.4787,dI  ,5.08,
NGC1222,MATLAS-226,46.9865,-2.7286,dEN ,0.0,
NGC1222,MATLAS-227,47.0095,-2.9522,dI  ,0.0,
NGC1222,MATLAS-228,47.035,-3.1263,dI  ,2.32,
NGC1222,MATLAS-229,47.046,-3.3169,dI  ,0.0,
NGC1222,MATLAS-230,47.0567,-3.1629,dI  ,3.21,
NGC1222,MATLAS-231,47.0589,-3.159,dI  ,2.85,
NGC1222,MATLAS-232,47.0772,-3.4876,dI  ,1.87,
NGC1222,MATLAS-233,47.118,-2.9005,dI  ,2.05,
NGC1222,MATLAS-234,47.122,-3.3795,dE  ,2.05,
NGC1222,MATLAS-235,47.1459,-3.4356,dEN ,2.88,
NGC1222,MATLAS-236,47.1537,-2.8142,dI  ,3.4,
NGC1222,MATLAS-237,47.1771,-3.3765,dE  ,0.0,
NGC1222,MATLAS-238,47.1879,-2.5518,dI  ,2.99,
NGC1222,MATLAS-239,47.2718,-2.851,dI  ,2.55,
NGC1222,MATLAS-241,47.3255,-3.2334,dE  ,4.09,
NGC1222,MATLAS-242,47.3356,-3.4439,dI  ,0.0,
NGC1222,MATLAS-243,47.3898,-3.3435,dE  ,3.03,
