host,ID,ra,dec,morph,re,z,tile,x,y,bands,n_bands,cutout
NGC4517,dw1238p0028,189.5586,0.4771,,11.319832352433572,,"(379, 181)",4004.2626774233013,4556.225425455842,['u'],1,0
NGC4517,dw1238m0035,189.7051,-0.5978,,6.034605842241189,,,,,,0,0
NGC4517,dw1238m0105,189.7086,-1.0868,,5.028013802162434,,,,,,0,0
NGC4517,dw1239m0039,189.7608,-0.6644,,20.581963040627528,,,,,,0,0
NGC4517,NGC4592,189.8273,-0.5318,,50.21583484461684,,,,,,0,0
NGC4565,NGC4562,188.8948,25.8503,,34.74088665218951,,"(340, 232)",9316.913816311633,2103.0284466868184,['u'],1,0
NGC4565,IC3571,189.0835,26.0843,,8.77925414824826,,"(340, 232)",6023.945986788075,6633.878957833908,['u'],1,0
NGC4565,dw1237p2602,189.2549,26.036,,7.9351284285647665,,"(340, 232)",3039.886818440542,5698.487972322373,['u'],1,0
NGC4565,dw1235p2616,188.843,26.2706,,4.329827613489468,,"(338, 233)",4959.423949481765,554.4423373039526,['u'],1,0
NGC4565,dw1236p2634,189.2441,26.5786,,6.406342217556875,,"(339, 233)",7690.912101613072,6524.818833705226,['u'],1,0
NGC4565,dw1237p2605,189.3618,26.0855,,12.656685842153763,,"(340, 232)",1180.104859375435,6660.1195702371115,['u'],1,0
NGC4565,dw1237p2637,189.4283,26.6243,,5.232886134957848,,"(339, 233)",4498.729724506978,7408.865689766784,['u'],1,0
M104,dw1237m1125,189.2985,-11.4332,,7.56160300179146,,,,,,0,0
M104,dw1239m1159,189.7877,-11.9867,,12.127506670968025,,,,,,0,0
M104,dw1239m1143,189.8136,-11.7189,,13.090795713755508,,,,,,0,0
M104,dw1239m1113,189.8866,-11.2268,,14.766832254569614,,,,,,0,0
M104,dw1239m1120,189.9645,-11.3413,,6.766781549446628,,,,,,0,0
M104,dw1239m1144,189.9787,-11.746,,22.52282093764105,,,,,,0,0
M104,dw1240m1118,190.0392,-11.3139,,14.265749165047868,,,,,,0,0
M104,dw1240m1140,190.0733,-11.6793,,30.965639027901783,,,,,,0,0
M104,dw1241m1131,190.2617,-11.5288,,7.436332229411023,,,,,,0,0
M104,dw1241m1153,190.3002,-11.8916,,15.52925609336778,,,,,,0,0
M104,dw1241m1155,190.3281,-11.9254,,16.334876750228165,,,,,,0,0
M104,dw1238m1122,189.6402,-11.3681,,14.075683165574103,,,,,,0,0
M104,dw1238m1102,189.7429,-11.036,,4.930916781802314,,,,,,0,0
M104,dw1242m1116,190.6825,-11.2739,,28.067132535926884,,,,,,0,0
M104,dw1242m1129,190.7067,-11.4893,,3.3045565817597637,,,,,,0,0
NGC4631,dw1236p3336,189.2059,33.6131,,11.804479114276392,,"(316, 247)",9332.960188383087,7197.383550877236,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1239p3230,189.7713,32.5046,,22.357432579837297,,"(320, 245)",4002.207037097853,5089.428901450015,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1239p3251,189.8317,32.8608,,12.554279558607057,,"(318, 246)",996.5816085614056,2307.1050586085685,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1241p3251,190.4464,32.8577,,18.16802712322397,,"(319, 246)",694.9816308477339,2247.7581730684806,"['u', 'g', 'r', 'i']",4,0
NGC4631,NGC4627,190.4987,32.574,,26.42976882209416,,"(321, 245)",1805.5979850721787,6436.979866610351,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1242p3158,190.6308,31.9692,,7.00464132566153,,"(323, 244)",1819.0886844282622,4405.971594520581,"['u', 'g', 'r', 'i']",4,0
NGC4631,NGC4656,190.9905,32.1681,,,,"(324, 244)",5597.133679299974,8257.714136328319,"['u', 'g', 'r', 'i']",4,0
